body,date,location
I’m a guy but think it’s important for orher mandem to see this and know it can happen to us too n don’t make u less of a man. I was at work as a waiter and i normally had an apron round the front of me. A drunk man one night while with his family slipped me a tip down the front of my apron but thought it would be a good idea to let his hands do whatever he wanted to to my dick and groped me. I never wore the apron after that shift,,
"I ended up sleeping on a floor mattress with a guy I didn't know at all after a party because there were too many people and too few beds. He started grinding on me. I didn't engage. He put my hand down his pants. I started giving him a hand job. He pushed my head down a couple times but I refused then left. Did not sleep a wink that night. Never spoke to him about it, but after leaving school I found out he pressured a number of girls into giving him blow jobs, one time on the street. The most disappointing thing is that his mates definitely knew he was a total creep and never did or said anything to my knowledge.",,
"I was walking home from a friends house at age 16, when I was approached from behind and tapped on the shoulder. when i turned around there as a large man standing there, wearing a balaclava, masturbating with his trousers down. It was in broad daylight around 3pm. I froze for a few seconds and then ran. I was 2 minutes from my parents house. I am now 46 years old & this frightening experience changed the way I live. i never walk alone and constantly check on my daughter and girlfriends when they go out.",,
"I used to attend a secondary school in [location omitted by EI to preserve anonymity]. Whilst attending [school name omitted by EI to preserve anonymity] I had a pretty new relationship with a guy I thought was nice. After about a month the guy completely flipped. Especially at school. I was cornered in classrooms, pressured to send nudes and threatened that if I didn't he would find them or take them himself and distribute all round the school and all social media platforms. He sent me unsolicited nudes and said I then owed him the same in return. This kind of behaviour carried on for 3 months. In lessons he would put his hand on my upper thigh and try put his hand up my skirt making me visibly uncomfortable. In locker rooms he would do the same as well as trying to put his hands in my shirt and bra, physically restraining my hand if I tried to move it away or stop him. He even went as far as slapping me across the face if I disrespected him. I came in to school multiple times with bruises on my arms and legs that he forced me to cover up with uniform. He would make public comments about the size of my chest in-front of other pupils and even teachers. If I ever mentioned leaving him he would threaten to kill himself and I received multiple texts saying he was about to commit suicide if I didn't send images of a sexual nature. When I refused he would send all kinds of threats and that it would all be my fault if he killed himself and he would make sure everyone knew that. He said multiple times if I went to the school he would turn it round on me and I would get kicked out. When I did leave him I told a friend what had happened and was strongly advised to talk to a teacher. I went to the head of pastoral care and told them everything that had happened. All though I did not have evidence to back up everything I could prove the main things and knew the school had cameras to prove other things along with witness statements from friends and teachers to further prove this. The school sat me in a room and told me they could not do anything. They did not check any CCTV footage, they did not look at my evidence and they did not talk to any of my friends. Instead, they told said I could go the the police if I wanted but I would have to stand in front of people and tell everyone what 'I' had done and how badly it would reflect on me and I would have to be stood in front of him the whole time. I was asked multiple times if I had done anything to lead him on or provoke him and every time I said no I was meant with 'Are you sure?' 'It's ok if you didn't mean to.' They never took into consideration how it affected me and continues to do so to this day, and this time of my life will stay with me forever, affecting all my relationships since and having nightmares about the experience I had which school have done nothing to help with or rectify. If only schools realise how big of a problem this is for all pupils, maybe this story would not have to be relived.",,
"In year 8, during science class. I was repeatedly groped under my skirt by a male pupil as I walked past or bent over to go into a cupboard.",,
"I was at a gathering and I was really drunk. This boy took me over to a quieter area and kept insisting that I kissed him. It was fine at first because I just said no and he seemed to respect that but he constantly kept asking. It got to a point that I just wanted to get away but he was so much stronger than me that I couldn’t escape. He kept touching all over me and I felt really uncomfortable but he wouldn’t let me go. My friends came over and had to eventually force him off of me. Despite not necessarily being as severe as other cases, the fact that he physically prevented me from escaping was really scary",,
"I was drunk after a night out at uni and I went home with this boy. He seemed really nice and I wanted to have sex with him. When we got back to his room we started kissing and he took my top off. I was so drunk I had forgotten I was on my period and needed to change my tampon, so I told him I didn't want to have sex with him and needed to leave. I was too embarrassed to admit why. He started acting annoyed and asking why I'd bothered to go home with him if I wasn't going to give him anything. He told me I should stay and we didn't need to have penetrative sex, that I should give him head instead. When I said I wanted to leave he just lay on the bed, holding my top and acting annoyed. He refused to give me my clothes several times, taunting me with them and suggesting we have sex. The door was locked and he made me nervous. I eventually left and it wasn't until a few months later I realised how fucked up it was that I felt grateful to him for 'letting' me leave without having sex with him, in my head this made him one of the 'good' guys. I laughed it off but I think about it often.",,
"I was interrailing with some friends and we bumped into boys from our school. One guy egged on his mate and I didn’t notice until this boy grabbed my face and aggressively got with me. He then followed me around and kept trying to get me to sit on his lap. I went to the toilet to try to escape him and he was waiting outside. I managed to find a friend who told me to run and he distracted this guy. The next week there was a rumour going round that I had got with him, but it wasn’t consensual. It was assault. And it was scary.",,
"I was only 16 and my boyfriend of the time used to guilt me into doing sexual things I wasn’t comfortable with or ready for. This ranged from performing oral sex to penetrating sex, and his reasoning was that I didn’t love him enough if I wouldn’t do it.",,
"My school forgot to teach us sex Ed. They told us about what sex was and how you got pregnant in year 7 and then it wasn’t til we alerted them that we had been forgotten about in year 9 (when a couple of people were already sexually active) they got a couple of medical student to come in for 10 minutes before school started at 8am. They had no experience of teaching a class, got completely shouted over, and only told us about STIs. Nothing about women’s health/UTIs/endometriosis/painful sex/consent/rape/coercion NOTHING!,Due to endometriosis/previous trauma I found sex extremely painful, and my boyfriend when I was 18 was “okay” with that. I tried to have sex with him a couple of times but it was too painful. I wasn’t taught how to deal with these situations, and instead felt huge pressure to pleasure him and “make up” for the fact that I couldn’t fulfil his needs. He constantly complained of having blue balls, saying it was extremely painful, that he HAD to finish, otherwise He couldn’t sleep. I would give extremely uncomfortable blowjobs that he would coerce and guilt trip me into which would leave me feeling uncomfortable and nauseous, however I thought that was what I owed him. Looking back it makes me feel sick that he enjoyed these sexual experiences that he practically had to beg me for.,I feel completely cheated by my education that I didn’t get educated that blue balls were not even a REAL thing. I genuinely only learned about this in my twenties. If there was more education about endometriosis and painful sex and validation of this condition I feel this wouldn’t have happened.",,
"After a party, a group of us had a sleepover. I woke up in the middle of the night everyone else having left the room and my male friend fingering me. I said what are you doing? And he just told me to shhhh. I don’t really remember what else happened as I was quite drunk, I likely fell back to sleep. I didn’t tell anybody for a while, and then I heard the same boy had raped another friend. The school said they would support the boy if the girl wanted to take it to court.",,
"I don't have any friends at my school or any social life at all really, but I've overheard boys in my classes taking the piss out of how people have not managed to get with at all or are still a virgin by the time they are in year 13 and they make fun of people who are not 'good' enough with girls, which basically sounds like they are making fun of people who don't do anything bad enough for someone to write a testimony about them here. Being constantly isolated at school is humiliating enough as it is, but then people indirectly making fun of you all the time is really painful. It also just shows how strong this rape culture is. Everyone's also talking about how they think these stories are fake or overexaggerated and they think ""some of these stories are actually quite fit"".",,
"When I was 16 I was raped by my boyfriend in my sleep. I only found out what happened because I woke up in so much pain and I was bleeding. I couldn’t process what had happened to me because I was so in love with him. The relationship then became sexually abusive with him always ending up having sex with me no matter how many times I said no. He had previously threatened to kill himself or harm himself if I left him but I finally got the courage to leave at the end of year 12. I told my sixth form about what had happened as I was really struggling to go to school with him being there. I went to the police and instead of excluding him as the school should have done due to there being a text from my ex saying he had raped me, they didn’t exclude him because Catholic schools have a “forgiveness policy”. Jesus would have forgiven him, so we have to as well. My year 13 experience was the worst year of my life. He wouldn’t stay away from me, school was hell but I couldn’t leave or I would have to start sixth form again. Having to see him every day while I tried to do my a levels was horrific. I still have severe symptoms of ptsd. He has walked free and has no exclusions on his record. Meanwhile my parents paid hundreds on my therapy and I still struggle to trust men my age. The school failed to protect me when I needed it most. This was from 2017-2018 and I don’t know if Catholic schools have amended their policies.",,
I was a minor and I was getting changed in cubicles at the swimming pool that had gaps below the doors. Next thing I saw was a phone held under the toilet door trying to take photos of me getting changed.,,
"I was told to stay after-school by one of my male teachers as I was falling behind in his class. I worked for about 15 minutes until I was told to “help him carry equipment from the storage room”. So I went into the store room with him and he tried to kiss me and I tried to get away but the door was locked and I was trapped in the room. I was raped and have found myself thinking I am dirty because I was so young but really, he was the one to blame.",,
"okay so, there's a boy and he's been going around touching girls and sending inappropriate messages as well as asking for nudes, when me and the other victims spoke up, we were all excluded whereas the boy was not, this school silences the victims of sexual harrasment/assult police are involved as well as many angry parents, the boy uses his sexuality as an excuse to go around touching girls, the school silences the victims and defends the sex offenders!!",,
"When I was around 10 years old, I was out alone walking my dog and a man grabbed me and took advantage of me. I was dressing for the weather and I still feel disgusted.",,
"Sadly, like others, I have many stories to choose from. When I was 20 years old I was working at [name omitted by EI to preserve anonymity]. There had been a lock-in and at 2am I was outside stacking chairs. A man, who was probably 50 and who I had served a drink to earlier in the night, came outside and pushed me hard against the wall. He groped me and tried to kiss me too - I struggled and managed to get away. I went inside the bar and told the Manager - [X] - what had happened. [X] said ""what do you expect me to do - he's a loyal paying customer"". Going to the Police didn't feel like an option. That was 20 years ago and I still feel angry about it now - it's sad to see how slow progress has been and that for many, going to the Police is still not an option. I've shared the University that I went to because, although this man was not a student, there were plenty of students who behaved in a similar way and got away with it.",,
"I was at a party and I started to make out with the boy in the main room. i was drunk and he dragged me into the toilets nearby and locked the door. i remember making out with him in the toilet but then i passed out from alcohol. when i regained consciousness, my shorts were on the floor and he was trying to make me do stuff to him. i remember clearly saying no him him, whilst falling in and out of consciousness. then i remember he pinned me against the wall and attempted to rape me however i was hardly conscious so he couldn’t. then my friend asked him after if he had sex with me, and he said “i put the tip in for a second” like he hadn’t just sexually assaulted me. i was 15 at the time.",,
"I started off being friends with this boy, but he realised I liked him, he took advantage of that and we began seeing each other. He told me I wasn’t good looking enough to be his girlfriend and he was too ashamed to tell anyone about us. He would often tell me that in order to get hard he had to imagine that I was this other girl in my year (who was blonde and white) during sex. Having gone to a girls’ school all my life, I was so naïve and had no self-esteem so I believed the things he said and accepted the abuse because he made me feel it was what I deserved. He would threaten me, telling me that if I dared tell a single person about our relationship he’d ruin me by telling everyone in the year, the teachers and my parents the graphic details of sexual encounters we’d had. The fear of that information coming out terrified me into silence because the culture of spreading warped rumours, slut shaming girls and destroying their reputations at Westminster was so powerful and irreversible. When we were alone together, he’d punch me and kick me to the point where I’d have awful bruises and even bled. He’d tell me afterwards that it was just play fighting. One time he shoved me into a hard piece of furniture in an empty school common room. The impact with a corner against my stomach hurt so badly that I can’t remember how many minutes I was lying in pain on the ground for. He just sat and watched me while laughing and telling me to get up and stop being dramatic. He would comment on my appearance every single day, telling me I was ugly and how I had to straighten my hair because he wasn’t attracted to me with my natural hair. He criticised every part of my body, leaving my cripplingly insecure. He told me he was so disgusted that he didn’t want to look at me on days where I had acne on my face. Getting pimples became my worst fear because of the abuse I knew I’d get, and I’d try to scratch them off my face to the point of scarring to protect myself from it. He said that I should be so grateful that he allowed me to have sex with him. He forced me to block other boys who showed interest in me, and the one time we hung out with other people – his friends who didn’t know anyone from our school – he groped me and forcibly fingered me under the table in front of them to assert his claim over me as I engaged in conversation with one of them. He made me feel so ashamed about the sexual nature of the relationship, he constantly called me a slut for doing the things he asked me to do. He waited until just before my A level exams to dump me and tell me that he had only used me for sex and that the entire time he had manipulated me and taken advantage of the fact I liked him. He said he chose to dump me at that time because I was already extremely stressed and reeling from other personal losses, and so he wanted to be the one to send me to rock bottom. At the time, I felt so dirty and corrupt that I couldn’t bring myself tell anyone about what he did to me. I stayed silent out of fear of his threats against me if I ever spoke out. And even if I did, I was terrified that information would get passed around the school and, as the girl, I’d take the blame for being a whore, and while he’d be respected by his friends for playing a girl so brutally and gaining sexual experience I’d be seen as untouchable damaged goods. I was totally isolated and had to deal with the excruciating aftermath alone whilst sitting my final exams. My experience at Westminster was traumatising and I have sought serious professional help in the process of recovering.",,
"i was out drinking with friends, i had a few too many tequila shots and was essentially blackout. i don’t remember anything from that night, i only know what my friends told me. the boys that were there all came onto me kissing me and stuff like that. then i was being filmed by another boy and whilst he was filming i tripped over and my dress fell down & i didn’t have a bra on so my breasts were out. some were saying he deleted whereas others aren’t sure. this boy was completely sober and i’m so scared that he has a video of me like that on his phone. i feel too embarrassed to see my friends i have just stayed home since this all happened",,
"A couple of years back I had an unpleasant experience involving a guy from the same sports club as me. I was incredibly drunk and have no recollection of going back to his after the night out. In my blacked out state we had sex. The only moment I remember from the night is him asking if he could do a specific thing, and me telling him no multiple times. He still went ahead despite me explicitly voicing that I would not consent to that. Once I woke up I left immediately feeling disgusting. I was on no form of contraception at the time (presumably something he didn’t bother to ask about before going ahead with sleeping with a blacked-out drunk girl), so had to go and get emergency contraception, and during the consultation it began to dawn on me that the encounter had not been consensual. The following week everyone I knew in the sports club teased me about that night. He was good friends with some of my friends, a ‘good guy’, so everyone took it as lighthearted banter that was their business. I felt so alone, I couldn’t even tell my close friends about what had really happened. It wasn’t until two or three months after the incident that I confided in my closest friends about it, who responded supportively. But nothing can reverse the amount of anxiety this experience inflicted, and continues to inflict upon me.",,
"We were leaving the bar I tried to say I would go and catch up with my friends but he insisted I get in the Uber with him, I was a bit drunk at the time so I just agreed. When we got back to his room we tried to have sex with a condom which I insisted on but he couldn’t get hard. After I said it was fine and we should just stop so we did. But then a few minutes later he insisted on trying again and it wasn’t until after that I found out that he didn’t use a condom. Also he told me the next morning that I needed to get tested and he was worried that I gave him an std. After not using a condom he made me feel so horrible.",,
"""I was sexually assaulted in secondary school. I was walking to my next lesson. I asked for a bit of water from this lad I knew! (I was 15 at the time) by this point everyone had left. After this I walked towards the door. Where I was pinned. There was a camera but it didn’t reach where it happened. I froze as he rubbed his hands all over my body. Feeling every part of me. I ran to my maths lesson. N burst out in tears. ,I told my mum who rung the school. I got pulled into countless meetings. By a councillor who told me “it’s just boys being boys” I was told this by many teachers. I felt isolated. I felt like I was being made out to be a liar. It went round my whole school I was a liar etc and I hated going to school. I spoke up and I was silenced. I was called a liar because of his account. Everyone in school thought I was dramatic. I had a very difficult life that not many know or understand. I wasn’t being dramatic. I was speaking out. I was asking for help. All he got was an after school detention and that was that because it “was boys being boys”.,He then went on and assaulted another 10+ girls. Where nothing was done. He was known as a predator by other schools in my area. Many people in other schools believed me as they’d saw what he did to girls at parties.""",,
I was raped by 2 boys in my class the teachers knew and made me sit with them for 4 years when my family went to talk to them they said i couldn’t get special treatment.,,
In 8th grade this boy told me “let’s play a game” I asked “how do you play it and what’s it called?” He said it’s called red light green light. And he said that he would touch my leg and if it ticked to say red light. So I was like ok that sounds alright we were playing and he squeezed my leg going up and on the third he shot up from just above my knee to my area. I didn’t think much of it before but I felt weird about it after.,,
I had no idea it was even rape until a year later. My now ex-boyfriend used coercion all the time to get me to sleep with him. coercion is also rape. emotional abuse is as damaging as physical abuse. everyone deserves to be heard,,
"My first time was with my current bf, we were making out in his car before I went to work and I said no but didn't realise he'd pulled it out and he tried to anyway, he couldn't get it in but managed to tear me and when I cried he laughed and said it was because he was too big. I didn't think much of it and we had sex properly that weekend which was good, however yesterday he met my parents after we went on a date, while we were on the date he tried to have sex with me but I said no, he tried to pull of my jeans and I was trying to play it off but I got really scared, he then got upset and told me he was worried about us.",,
When I was 10 or 11 I was sexually assaulted by my best friend. I would go to their house almost every week and the whole time they’d make us watch porn and they would touch my inner thighs. I never talked about it until this year. I told someone I trusted and they went and told my sexual assaulter. My sexual assaulter went to my school and reported me for coming forward and said my claims weren’t true. My school did not care and they did nothing to help me or get the student who sexually assaulted away.,,
"When I just turned 18 I was on a night out with my friend and we ended up going somewhere to get food and whiles we were waiting for our food, a Middle Aged man just walked up to me and slapped my arse and I couldn’t believed what just happened. He just laughed and walked away like it was nothing. It was so embarrassing and so humiliating and on the way home in a Uber I was just balling myself eyes out. I honestly wished I could of done something there and then like told the security guard or something.",,
In halls boys would try complete I think it was called a golden week where they would sleep with a different night each day of the week,,
When I was in year 9 my then boyfriend at the time would pressure me for nudes 24/7 and I’d feel obliged to send them. I said no for weeks and I eventually gave in. After we broke up because I felt uncomfortable around him I found out he had shown them to his friends and shared them around because we had a mutual friend who found out. When I told my friends I got told it was my fault for sending and I cried myself to sleep for weeks because I felt so exposed and I felt it was me to blame. He tried to touch me inappropriately too but I stopped him most of the time.,,
Was told in year 7 that a boy would fuck me if I had a paper bag over my head.,,
My lecturer sent me a private message on zoom saying he was imagining me naked and that I was too pretty to be studying.,,
"When I was 16 I started dating a boy in the year above, all of my friends who were in his year kept telling me how popular he was and how it was a major deal to be seen dating him. Right from the start I felt pressured into the relationship but I carried on anyway. After a few weeks I ended up losing my virginity to him, I lied about not being a virgin because I was embarrassed that he had been with lots of people and I hadn’t. The whole night was just uncomfortable and not enjoyable at all - he only cared about himself and never made sure I was ok. We drove out into the countryside one day and he pulled the car up into a public car park where walkers would park to go up the hills. He tried to pressure me into having sex with him in the back of the car and I resisted and refused. He dumped me the next day.",,
Ex boyfriend raped me,,
I was really drunk and I had basically passed out. The next day I found out from someone else things that had happened between me and this guy that I still have no memory of.,,
"I was insanely drunk at a party which I never usually am, and a boy I didn’t know put his hands in my trousers and proceeded to sexually assault me and I never resisted because I was in and out of consciousness and always blamed myself.",,
"About two years ago I was in [name omitted by EI to preserve anonymity], and (not that it matters because what you wear doesn’t equal consent) but I was wearing long trousers and was dancing with mates when I guy groped my ass with the hardest pinch I’d ever felt. When I turned around and asked him why the hell he did it he just said “well I thought you were asking for it”.",,
"I was raped when I had just turned 15 by a boy that everyone at my school loved, I could never say anything as I would be hated but it still kills me everyday to think of how little control I had over my own body.",,
I was raped at 14 by my boyfriend at the time. People found out about it a few months ago and it went to police. The case got dropped and I now have to see him every day and can’t do anything about it,,
"I was raped by a man significantly older than me, who denied it and said I needed psychological help. I went to the police a couple hours after it happened, reported it, got a rape kit, had a recording of the call where I confronted him etc. it didn’t even make it to court. I wish I never reported it because the process took an entire tear and had me reliving the trauma over and over. I was suicidal, self harming & had to go on SSRIs.",,
"I was walking down my school corridoor and a boy wolf whistled at me in my skirt and I was also groped. I had a male teacher tell me ""boys will be boys"" and he was the same teacher who made me feel uncomfortable by getting really close to me. He is no longer a teacher there.",,
I’ve been groped multiple times by both the girls and boys in my school. The teachers were watching but did nothing about it.,,
I was at a New Year’s Eve party and a friend of mine repeatedly tried to coerce me into sex after repeatedly being told no. I later found out that he had done the same thing to other girls that night.,,
The guy took the condom off without my permission while we were having sex,,
"I think the saddest thing about how pervasive rape culture was at school was that the girls didn’t know to stand up for one another, or at least were too scared to. Slut shaming and victim blaming were so normalized that we all went along with it, we couldn’t recognize how wrong it was in the moment because we were all conditioned by the same fucked up culture. I lost friends when I lost my virginity, because they deemed me too slutty and changed. Once I was harassed and yelled at by a guy for not getting with him when we were walking home together after a party. He spoke to me as if I owed him something, and became explosive when I said no multiple times. I almost gave in, thinking it would be easier to just go home with him and shut him up. My friends at school blamed me for it, saying that I should have expected it because I was alone with him and that me walking home alone with him equaled consent. I was also added to a groupchat with 10+ [school name omitted by EI to preserve anonymity] boys (most of whom i didn’t know) after getting with a guy at a party, the sole purpose of which was to slut shame me. I felt disgusting and embarrassed, but also didn’t understand that that wasn’t deserved. It’s only now, almost six years out of sixth form, that I’m realizing how fucked up it all was. These perverse gender dynamics and this rape culture gave me complexes that I’m still working through, and I know that many of my peers are the same.",,
"It started when i was in secondary school boys would slap my bum, talk about it, make comments about it and purposely wait to walk behind me. I knew it hat they were doing and it made me feel so uncomfortable. When my guy friend stopped a lad from slapping my bum the lad tried to fight my friend. He felt so entitled that he could slap my bum.",,
"For two terms I was groped by my lab partner in chemistry class. I was scared to say anything and didn't know who to speak to because I was embarrassed, and there wasn't a clear structure for reporting these things. I felt vulnerable and powerless and still think about it happening.",,
"When I was 15, I had a local group of friends mixed between our girls and boys grammar schools. We’d meet up and smoke weed and listen to music pretty regularly. One time, three of us decided to meet up to have a smoke and just chilled in our male friend’s bedroom. I smoked a lot and was really monged out, and when my female friend wasn’t looking, my male friend decided to come behind me a grope my vagina. I was really shocked, my head was fuzzy and I just laughed it off. He gave us some more puff and then again when my female friend went off somewhere he started kissing me. She came back in and saw so decided to leave feeling uncomfortable. He then made me feel bad when I backed away and then continued until he was penetrating me and I reluctantly accepted it without protest, feeling really strange and not with it. I went home afterwards and the next day when I was sober he told me he had laced the weed with LSD. I hadn’t consented to taking LSD. I felt really betrayed and I spoke to my female friend about it, who told me that was rape. I tried speaking to him about it afterwards, I think he felt a little bit bad but asked me not to take any action as it would ruin his future prospects and career. I’ve stayed silent forever.",,
"I was out with my friends after school on a Friday night. I was around 13 years old. For some reason, a group of boys I went to school with, who were also my age, thought it was acceptable to pin me down to the ground. It came out of nowhere. For a few minutes I was wriggling, screaming and trying to get away from them while they were laughing and egging each other on. They were touching me inappropriately and threatening to take my clothes off. Eventually they pulled my top and bra down exposing my breasts. I was with a female friend at the time who didn’t know what to do. She asked them to stop but I think she was worried that if she intervened it would happen to her. They finally let me go when another boy in my year group saw what was happening and told them to stop. Not only did the boys not grasp what they had done was wrong, they also went on to make disrespectful comments about my body to others at school the following week. This led to people teasing me for the next few months. This particular incident was the worst but it wasn’t the only one. It was common occurrence for the boys in our school to randomly grope the girls. This happened mainly in the school yard but also happened in lessons. I couldn’t wear a skirt to school because the boys would slap our legs or lift our skirts up. They would comment that we must enjoy the attention otherwise we wouldn’t wear skirts.",,
"Last summer a guy was talking to me on Snapchat a lot. He was a sophomore (15) because he skipped a grade and I was in eighth grade (14). We were talking to each other a lot and I thought he had feelings for me. He asked me if I wanted to meet up and I said yes after my “friends” pressured me into it. When he got to my house it was 2 a.m. and everyone in my house was sleeping, and we were in the basement so no one heard us. He's my neighbor so it wasn't difficult for him to get to my house. Once we were together and alone he took it phone and told me I was allowed to go on it. This gave me a weird vibe but I just went along with it. He started touching my leg and scooting closer to me and tried to kiss me. I was visibly uncomfortable but he kissed me anyway. Then he started grabbing my chest, and I hadn't even said a word at this point, and he asked if it was okay and I said no. He kept trying to touch my chest and I continued to say no and he eventually gave up. We were just making out for a little bit until he put his hand on my vagina through my pants and I was just sitting there in shock. I kept trying to move away, but he didn't let me. He continued to touch me. This when on for about an hour until he had to leave. He didn’t talk to me for a couple months after that. But he has tired to more recently. Whenever he sees me in the neighborhood he waves and i just look away. I know that he knows what he did, but I think he’s in denial. I still think about it. I'm so scared to talk about it so I just keep it to myself and sit in silence because I know I'll be blamed for everything.",,
"I’ve never told anyone before but I think about it all the time. In year 8 I was in a cookery class with all boys (about 7 of them). The boy I was partnered with would always try to touch me to annoy me. I always told him to stop and moved away. One day he grabbed my bum and joked about it with the other boys. The worst part is that most of them weren’t even his friends and yet they all laughed at me and made me feel embarrassed so I never said anything. Now I kick myself about it - please if this kind of thing happens to you don’t be afraid to speak up."",I sort help through the uni but the person i saw told me not to say his name as I wouldnt want it to go further.,As a result i have suffered depression, ocd and anxiety.,All of this has been set off again as he has just done a charity challenge for mental health. It feels like a sick joke.",,
I was groped during class by several boys the teacher noticed but smirked and ignored me...,,
There was a male PE teacher at my school for 11-14 year-olds who was infamous for walking into the girls changing rooms unannounced.,,
I never thought much of it but once I was at a mates house with about six of us and this one guy had said he wanted to get with me. I wasn’t really into but then when we started playing spin the bottle he was really into it. Later we were sitting on the sofa and he kept putting his arms round me and trying to put his hand down my pant even though I kept removing him. It was even worse when u saw people talking about it on the other sofa as if I was into it when he wouldn’t leave me alone. Everyone thought I got with him after he told them all.,,
"I’m not sure if this counts but me and other girls in my school have been touched inappropriately by boys and also called derogatory names such as a slag, slut and whore.",,
"I was 14 when I first was asked for nudes. As a girl who had never experienced what it was like to have male attention, and who didn’t understand the difference between a guy liking you and a guy using you, I was a perfect candidate for boys to try and receive unsolicited pictures from. It’s started with just one guy from [school name omitted by EI to preserve anonymity] telling me how fit I was, saying how he thought I looked really hot and used all the heart emojis and missy face emojis which convinced me that he really did think this. He started becoming more and more full on with the comments about my body and started convincing me that the only way to “prove” how fit,sexy,hot I was, was to send him my entire body. I said no at first then he sent me pictures of himself telling me that he had sent so now I HAVE to, saying that it’s wrong and unfair for me not to send. Then he started using derogatory words and insults to further pressure me into sending him pictures I previously had said no I didn’t want to send. He told me that if I blocked him he would go and tell everyone how much of a slag I am. Eventually I sent to him. After that, I had many, and by many I mean about 30 more boys from the same school and year, [school name omitted by EI to preserve anonymity], asking me for nudes and pressuring me and manipulating me into sending. You would think that it would be easy to just stop talking and to block them, but when these boys tease you with compliments, before shutting you down with insults, you start to do anything to get those compliments back, because who doesn’t want to feel good about them selves even if it is just for a short while. And I know in comparison to other stories out here this is insignificant, but people have to be aware about the utter wrongs that goes on in not only [school name omitted by EI to preserve anonymity] but loads of other schools, where boys seem to think that it’s okay to manipulate a girls want for affection to help themselves have a wank in the night. It’s disgusting and utterly ruins the girl, and makes people think that the only way to get a mans attention or the only way to prove that a man likes you is by sexualising your own body. I know so many friends who have gone through the same thing as me especially with [school name omitted by EI to preserve anonymity] and who have had a lot worse done to them by [school name omitted by EI to preserve anonymity] boys. There is a massive rape culture that NEEDS to be sorted out.",,
"""First testimony: Aged 12, met a man on Omegle who was 25. He told me he loved me, but over Skype slowly turned and began to force me to get naked and masturbate on camera. Threatened and blackmailed me, he said he knew where I lived and would come and find me if I didn't do it. Then, once I had done it, took photos of me and said if I didn't continue he would share them all over the Internet. Continued everyday for over a year. ,Second testimony: Told a close friend about this above experience. I cried as I told him. He said I would felt better if I kissed him and went down on him. He made me suck him off as I wept. Age 14 ,Third testimony: A night out in [name omitted by EI to preserve anonymity], I went back to this man's house who I worked with (but barely knew). I didn't want to have sex but he convinced me. He refused to wear a condom. He then proceeded to do anal with me, despite me continuously telling him to stop and that it hurt. Aged 19.""",,
He would always put his hand le on my thighs under the table and make advances at me even after i loudly told him no. He’s been doing this for years now,,
Around the age of 12(a 6th grader) I went to a New Years party at my church and I was with a group of kids chilling in a little area ready for sleep. One of my friends older brother(16 and in freshman) started to touch up my leg but we were all so close together I didn’t think anything of it. Then he started to move his hand up on my leg under the blankets. I started to feel really uneasy so I got up and making an excuse. When I got back I moved as far as possible from him. But he moved and got closer to me and started to move his hand back up. I tried to snap one of the people I was close to at the time who was there about it but they just said it was fine. Then later my phone got lost somewhere and couldn’t find it. The worded thing he did my was grab my boob. But after one of his friends asked if I let him finger me. And I feel so bad bc I didn’t say no so I feel like I shouldn’t be feeling this way..,,
I am 19 and was walking past it recently and a group of boys younger than me kicked a football at me then crossed the road to get it and walked behind me then I heard then laughing and whispering about my body then eventually they were shouting about my body. One boy felt me up quickly before they left. Now I have to take a different route to avoid them.,,
"I was sat in class doing maths, my partner put his hand under the table. At first I didn't think much of it, until he grabbed my hand and forced it on his crotch. He then started to touch me, I tried to stop him but i couldn't. I feel so ashamed of myself. It was the worst day ever, now whenever someone puts their hand under the table i get so scared.",,
"I was 11, he was my teacher (probably in his 50s). I was sent out of my lesson to get paper, I was on my way to the AV Room, he was the only other person in the hall. He stopped me and started asking me questions. As he was talking he was getting closer to me until his hands were on me and he started squeezing groping my breasts. I It took me years to realise it was sexual assault. I was ashamed and embarrassed and I told myself I was imagining it.",,
"When I was young, I would sleep on the floor of my room, and he would come in around bed time when we were trying to sleep, he didn't get to my sister, just me, and that's what I am glad for, but he would force me to suck things (his penis) and aswell as stick it in without my consent, I would go pee the next morning and it would burn, and he did this for night apon nights and he would always come back for more and more and more, it wasn't just during nights either, we would play games, and he would always have my siblings do the right thing but had other plans for me, this went on for a span of 2-3 years, I'm hoping my story can help others come forward and and have the confidence to come forward and say what happened.",,
"I was 13, passed out drunk in my friends bed. a boy got in beside me (he was 16), i was half asleep and he started putting his hands on my arse (i thought it was by accident and barely realised what he was trying to do), he kept telling me to turn over but i just lay there and then he flipped me over and shoved his tongue down my throat and at the same time started to take my trackies off. i realised what he was trying to do and started kicking him and telling him to stop. he didn’t. he kept telling me to turn back over and he started touching me everywhere. i finally turned back over and kicked him as hard as i could. he got up and said “why’d you do that we were just having fun”. his friend who’d been sleeping on the sofa on the other side of this room woke up and said did he just try do what i think he did, i said yes, his friend started saying that “he isn’t like that, he’s just drunk, he’s never do that”. he was my friends ex boyfriend and she got mad at me because she still had feelings for him. i’ve never told anyone this and i don’t know what school he went to.",,
I was seeing this guy for a bit and we always smoked when we hung out. One time I was really high at his house and fell asleep. I woke up to him fingering me. Because we were seeing each other at the time I didn’t think I had a right to say anything to him so I just left and never spoke about it again. Only recently did I realise that it was wrong.,,
